type,fraction,run,accuracy,thinking_length,non_thinking_length,problem_id
keywords,0.1,1,0.0,40,1525,1996-15
keywords,0.1,1,100.0,169,1296,1997-1
keywords,0.1,1,100.0,40,1602,1997-2
keywords,0.1,1,100.0,11,76,1997-3
keywords,0.1,1,0.0,0,0,1997-4
keywords,0.1,1,100.0,4536,1134,1997-5
keywords,0.1,1,0.0,652,1628,1997-6
keywords,0.1,1,100.0,10,1618,1997-7
keywords,0.1,1,100.0,69,1057,1997-8
keywords,0.1,1,100.0,40,1430,1997-9
keywords,0.1,1,0.0,0,0,1997-10
keywords,0.1,1,100.0,40,1320,1997-11
keywords,0.1,1,100.0,93,2598,1997-12
keywords,0.1,1,0.0,0,0,1997-14
keywords,0.1,1,100.0,40,1321,1997-15
keywords,0.1,1,100.0,39,1211,1998-1
keywords,0.1,1,100.0,72,1230,1998-2
keywords,0.1,1,0.0,0,0,1998-3
keywords,0.1,1,100.0,41,2113,1998-4
keywords,0.1,1,100.0,40,968,1998-5
keywords,0.1,1,100.0,40,1414,1998-6
keywords,0.1,2,100.0,39,1309,1983-1
keywords,0.1,2,100.0,75,1405,1983-2
keywords,0.1,2,0.0,0,0,1983-3
keywords,0.1,2,100.0,11,923,1983-4
keywords,0.1,2,0.0,0,0,1983-5
keywords,0.1,2,100.0,11,1086,1983-6
keywords,0.1,2,100.0,39,1274,1983-7
keywords,0.1,2,0.0,0,0,1983-8
keywords,0.1,2,100.0,12,1012,1983-9
keywords,0.1,2,100.0,10,1010,1983-10
keywords,0.1,2,0.0,1,0,1983-11
keywords,0.1,2,100.0,39,1681,1983-12
keywords,0.1,2,100.0,40,884,1983-13
keywords,0.1,2,100.0,11845,1881,1983-14
keywords,0.1,2,0.0,1244,1782,1983-15
keywords,0.1,2,100.0,11,1936,1984-1
keywords,0.1,2,100.0,40,883,1984-2
keywords,0.1,2,100.0,40,1609,1984-3
keywords,0.1,2,100.0,40,1359,1984-4
keywords,0.1,2,100.0,40,1863,1984-5
keywords,0.1,2,100.0,7445,1283,1984-6
keywords,0.1,2,0.0,0,0,1984-7
keywords,0.1,2,100.0,3723,620,1984-8
keywords,0.1,2,100.0,11,851,1984-9
keywords,0.1,2,0.0,8937,1224,1984-10
keywords,0.1,2,100.0,40,1655,1984-11
keywords,0.1,2,0.0,0,0,1984-12
keywords,0.1,2,100.0,40,1424,1984-13
keywords,0.1,2,100.0,11,104,1984-14
keywords,0.1,2,100.0,40,1495,1985-1
keywords,0.1,2,100.0,75,1274,1985-2
keywords,0.1,2,100.0,40,1219,1985-3
keywords,0.1,2,100.0,20,2293,1985-4
keywords,0.1,2,0.0,0,0,1985-5
keywords,0.1,2,0.0,8069,0,1985-6
keywords,0.1,2,100.0,11,1009,1985-7
keywords,0.1,2,0.0,39,1710,1985-8
keywords,0.1,2,100.0,39,2071,1985-9
keywords,0.1,2,0.0,41,1457,1985-10
keywords,0.1,2,100.0,39,1812,1985-11
keywords,0.1,2,100.0,40,1348,1985-12
keywords,0.1,2,100.0,40,1505,1985-13
keywords,0.1,2,100.0,90,1910,1985-14
keywords,0.1,2,0.0,10,64,1985-15
keywords,0.1,2,100.0,40,814,1986-1
keywords,0.1,2,0.0,0,0,1986-2
keywords,0.1,2,0.0,0,0,1986-3
keywords,0.1,2,100.0,40,940,1986-5
keywords,0.1,2,100.0,87,1178,1986-6
keywords,0.1,2,100.0,40,1321,1986-7
keywords,0.1,2,100.0,10,1187,1986-8
keywords,0.1,2,0.0,10,1244,1986-9
keywords,0.1,2,100.0,11,1528,1986-10
keywords,0.1,2,100.0,1593,1213,1986-11
keywords,0.1,2,0.0,208,905,1986-12
keywords,0.1,2,0.0,7688,0,1986-13
keywords,0.1,2,100.0,77,2625,1986-14
keywords,0.1,2,0.0,3974,1745,1986-15
keywords,0.1,2,100.0,40,1132,1987-1
keywords,0.1,2,100.0,40,947,1987-2
keywords,0.1,2,100.0,11,871,1987-3
keywords,0.1,2,0.0,0,0,1987-4
keywords,0.1,2,100.0,40,1112,1987-5
keywords,0.1,2,0.0,1803,1482,1987-6
keywords,0.1,2,100.0,39,1463,1987-7
keywords,0.1,2,0.0,8712,1414,1987-8
keywords,0.1,2,100.0,39,1615,1987-9
keywords,0.1,2,100.0,89,1534,1987-10
keywords,0.1,2,100.0,82,1288,1987-11
keywords,0.1,2,100.0,64,1813,1987-12
keywords,0.1,2,0.0,40,1701,1987-14
keywords,0.1,2,0.0,7359,541,1987-15
keywords,0.1,2,100.0,40,1855,1988-2
keywords,0.1,2,0.0,0,0,1988-3
keywords,0.1,2,100.0,1298,0,1988-5
keywords,0.1,2,100.0,10,1687,1988-7
keywords,0.1,2,100.0,11740,1733,1988-8
keywords,0.1,2,100.0,97,2051,1988-9
keywords,0.1,2,100.0,40,1775,1988-10
keywords,0.1,2,100.0,40,2528,1988-13
keywords,0.1,2,100.0,39,1434,1988-14
keywords,0.1,2,0.0,93,1069,1988-15
keywords,0.1,2,100.0,40,705,1989-1
keywords,0.1,2,100.0,40,1137,1989-2
keywords,0.1,2,100.0,40,1201,1989-4
keywords,0.1,2,100.0,40,1465,1989-5
keywords,0.1,2,100.0,40,1368,1989-7
keywords,0.1,2,100.0,40,1248,1989-8
keywords,0.1,2,100.0,10,1306,1989-9
keywords,0.1,2,0.0,40,1476,1989-11
keywords,0.1,2,100.0,10,1371,1989-13
keywords,0.1,2,0.0,11,1239,1990-1
keywords,0.1,2,0.0,12840,97,1990-2
keywords,0.1,2,0.0,0,0,1990-3
keywords,0.1,2,0.0,42,1536,1990-5
keywords,0.1,2,100.0,11,1539,1990-6
keywords,0.1,2,100.0,39,1888,1990-7
keywords,0.1,2,100.0,11,1354,1990-9
keywords,0.1,2,100.0,40,1127,1990-10
keywords,0.1,2,0.0,11737,0,1990-11
keywords,0.1,2,0.0,0,0,1990-13
keywords,0.1,2,0.0,7753,0,1990-14
keywords,0.1,2,100.0,549,772,1990-15
keywords,0.1,2,100.0,40,887,1991-1
keywords,0.1,2,100.0,11,79,1991-2
keywords,0.1,2,0.0,288,1457,1991-4
keywords,0.1,2,100.0,40,1092,1991-5
keywords,0.1,2,100.0,39,1563,1991-8
keywords,0.1,2,0.0,0,0,1991-9
keywords,0.1,2,0.0,0,0,1991-10
keywords,0.1,2,0.0,0,0,1991-11
keywords,0.1,2,0.0,0,0,1991-12
keywords,0.1,2,100.0,40,1257,1991-13
keywords,0.1,2,0.0,0,0,1991-14
keywords,0.1,2,100.0,41,1805,1992-1
keywords,0.1,2,100.0,86,1002,1992-2
keywords,0.1,2,100.0,10,99,1992-3
keywords,0.1,2,100.0,39,1110,1992-4
keywords,0.1,2,0.0,10,1700,1992-5
